"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
2023-06-01 00:00:00.000,yandex,cpc,prof-frontend,49785,27410040,49785,49785,4747298460
2023-06-01 00:00:00.000,yandex,cpc,prof-python,26844,15043296,26844,26844,2135742195
2023-06-01 00:00:00.000,yandex,cpc,freemium,23660,13045604,23660,23660,1571312470
2023-06-01 00:00:00.000,yandex,cpc,prof-java,9060,4955855,9060,9060,645048444
2023-06-01 00:00:00.000,yandex,cpc,base-python,2480,1387720,2480,2480,169857680
2023-06-01 00:00:00.000,yandex,cpc,base-frontend,1384,765100,1384,1384,111465630
2023-06-01 00:00:00.000,vk,cpc,freemium-frontend,1665,708867,1665,1665,102153485
2023-06-01 00:00:00.000,vk,cpc,prof-python,1197,1017436,1197,1197,100548684
2023-06-01 00:00:00.000,yandex,cpc,prof-data-analytics,722,403014,722,722,79515304
2023-06-01 00:00:00.000,vk,cpc,prof-data-analytics,1175,534320,1175,1175,59559340
2023-06-01 00:00:00.000,vk,cpc,prof-java,453,398271,453,453,57971618
2023-06-01 00:00:00.000,yandex,cpc,base-java,628,360874,628,628,52752000
2023-06-01 00:00:00.000,yandex,cpc,prof-professions-brand,892,493500,892,892,51358461
2023-06-01 00:00:00.000,vk,cpc,freemium-python,528,194118,528,528,43856736
2023-06-01 00:00:00.000,yandex,cpc,dod-frontend,249,145845,249,249,16851905
