"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
2023-06-01 00:00:00.000,yandex,cpc,prof-frontend,10368,5485248,10368,1620,154476720
2023-06-01 00:00:00.000,yandex,cpc,freemium,4680,2815020,4680,936,62161812
2023-06-01 00:00:00.000,yandex,cpc,prof-python,4920,2708132,4920,720,57284100
2023-06-01 00:00:00.000,yandex,cpc,prof-java,3416,1798890,3416,280,19935272
2023-06-01 00:00:00.000,yandex,cpc,base-python,814,463388,814,176,12054416
2023-06-01 00:00:00.000,yandex,cpc,base-frontend,1836,975294,1836,136,10953270
2023-06-01 00:00:00.000,yandex,cpc,base-java,806,500552,806,62,5208000
2023-06-01 00:00:00.000,yandex,cpc,prof-data-analytics,374,171462,374,44,4845808
2023-06-01 00:00:00.000,vk,cpc,freemium-frontend,504,398160,328,36,2208724
2023-06-01 00:00:00.000,yandex,cpc,prof-professions-brand,216,115632,216,36,2072763
2023-06-01 00:00:00.000,yandex,cpc,dod-frontend,90,28710,90,27,1827315
2023-06-01 00:00:00.000,yandex,cpc,dod-php,66,35784,66,11,1652805
2023-06-01 00:00:00.000,vk,cpc,prof-java,328,255430,200,12,1535672
2023-06-01 00:00:00.000,vk,cpc,prof-python,194,196716,132,14,1176008
2023-06-01 00:00:00.000,vk,cpc,prof-data-analytics,304,81472,224,20,1013776
2023-06-01 00:00:00.000,vk,cpc,freemium-python,132,64680,90,6,498372
2023-06-01 00:00:00.000,vk,cpc,base-python,415,210571,300,10,160360
2023-06-01 00:00:00.000,yandex,cpc,base-professions-retarget,4,604,4,1,134100
2023-06-01 00:00:00.000,yandex,cpc,prof-professions-retarget,30,25710,30,2,5850
2023-06-01 00:00:00.000,vk,cpc,freemium-java,144,35064,106,0,
2023-06-01 00:00:00.000,yandex,cpc,dod-java,30,17436,30,0,
2023-06-01 00:00:00.000,vk,cpm,prof-data-analytics,11,4235,7,0,
2023-06-02 00:00:00.000,vk,cpc,freemium-java,1476,415904,0,0,
2023-06-02 00:00:00.000,vk,cpc,prof-data-analytics,1246,722680,0,0,
2023-06-02 00:00:00.000,vk,cpc,base-python,1206,339824,0,0,
2023-06-02 00:00:00.000,vk,cpc,freemium-python,882,255633,0,0,
2023-06-02 00:00:00.000,vk,cpc,freemium-frontend,844,535518,0,0,
2023-06-02 00:00:00.000,vk,cpc,prof-java,654,606694,0,0,
2023-06-02 00:00:00.000,vk,cpc,prof-python,484,491744,0,0,
2023-06-03 00:00:00.000,vk,cpc,freemium-java,2100,398400,0,0,
2023-06-03 00:00:00.000,vk,cpc,prof-data-analytics,1032,683528,0,0,
2023-06-03 00:00:00.000,vk,cpc,base-python,909,302697,0,0,
2023-06-03 00:00:00.000,vk,cpc,freemium-frontend,860,545885,0,0,
2023-06-03 00:00:00.000,vk,cpc,freemium-python,610,169580,0,0,
2023-06-03 00:00:00.000,vk,cpc,prof-java,597,552026,0,0,
2023-06-03 00:00:00.000,vk,cpc,prof-python,408,412692,0,0,
2023-06-04 00:00:00.000,vk,cpc,freemium-java,1350,234900,0,0,
2023-06-04 00:00:00.000,vk,cpc,base-python,1015,367865,0,0,
2023-06-04 00:00:00.000,vk,cpc,freemium-frontend,912,578664,0,0,
2023-06-04 00:00:00.000,vk,cpc,prof-data-analytics,798,497420,0,0,
2023-06-04 00:00:00.000,vk,cpc,prof-java,567,307503,0,0,
2023-06-04 00:00:00.000,vk,cpc,prof-python,430,436880,0,0,
2023-06-04 00:00:00.000,vk,cpc,freemium-python,393,170955,0,0,
2023-06-04 00:00:00.000,vk,cpm,prof-data-analytics,24,16824,0,0,
2023-06-05 00:00:00.000,vk,cpc,freemium-python,980,156520,0,0,
2023-06-05 00:00:00.000,vk,cpc,freemium-frontend,784,497448,0,0,
2023-06-05 00:00:00.000,vk,cpc,prof-python,740,939245,0,0,
2023-06-05 00:00:00.000,vk,cpc,prof-data-analytics,616,469392,0,0,
2023-06-05 00:00:00.000,vk,cpc,prof-java,576,388224,0,0,
2023-06-05 00:00:00.000,vk,cpc,base-python,496,245520,0,0,
2023-06-05 00:00:00.000,vk,cpc,freemium-java,278,55183,0,0,
2023-06-05 00:00:00.000,vk,cpm,prof-data-analytics,24,18264,0,0,
2023-06-06 00:00:00.000,vk,cpc,freemium-frontend,1790,599292,0,0,
2023-06-06 00:00:00.000,vk,cpc,freemium-java,1260,268240,0,0,
2023-06-06 00:00:00.000,vk,cpc,freemium-python,856,198378,0,0,
2023-06-06 00:00:00.000,vk,cpc,prof-python,752,954664,0,0,
2023-06-06 00:00:00.000,vk,cpc,prof-data-analytics,540,410940,0,0,
2023-06-06 00:00:00.000,vk,cpc,base-python,363,399421,0,0,
2023-06-06 00:00:00.000,vk,cpc,prof-java,159,180783,0,0,
2023-06-06 00:00:00.000,vk,cpm,prof-data-analytics,14,10626,0,0,
2023-06-07 00:00:00.000,vk,cpc,freemium-frontend,1730,438555,0,0,
2023-06-07 00:00:00.000,vk,cpc,freemium-java,1695,286116,0,0,
2023-06-07 00:00:00.000,vk,cpc,freemium-python,1344,326592,0,0,
2023-06-07 00:00:00.000,vk,cpc,prof-python,772,980247,0,0,
2023-06-07 00:00:00.000,vk,cpc,prof-data-analytics,440,335280,0,0,
2023-06-07 00:00:00.000,vk,cpc,base-python,214,269212,0,0,
2023-06-07 00:00:00.000,vk,cpc,prof-java,166,186916,0,0,
2023-06-07 00:00:00.000,vk,cpm,prof-data-analytics,13,9906,0,0,
2023-06-08 00:00:00.000,vk,cpc,freemium-java,2480,313844,0,0,
2023-06-08 00:00:00.000,vk,cpc,freemium-frontend,2167,507275,0,0,
2023-06-08 00:00:00.000,vk,cpc,freemium-python,2034,286116,0,0,
2023-06-08 00:00:00.000,vk,cpc,prof-python,1552,984744,0,0,
2023-06-08 00:00:00.000,vk,cpc,prof-frontend,585,69264,0,0,
2023-06-08 00:00:00.000,vk,cpc,prof-data-analytics,540,406755,0,0,
2023-06-08 00:00:00.000,vk,cpc,prof-java,516,274168,0,0,
2023-06-08 00:00:00.000,vk,cpc,base-python,333,111999,0,0,
2023-06-08 00:00:00.000,vk,cpm,prof-data-analytics,17,12954,0,0,
2023-06-08 00:00:00.000,vk,cpm,prof-frontend,6,0,0,0,
2023-06-09 00:00:00.000,vk,cpc,freemium-frontend,1830,463722,0,0,
2023-06-09 00:00:00.000,vk,cpc,freemium-python,1830,309026,0,0,
2023-06-09 00:00:00.000,vk,cpc,prof-data-analytics,1804,738328,0,0,
2023-06-09 00:00:00.000,vk,cpc,freemium-java,1635,276097,0,0,
2023-06-09 00:00:00.000,vk,cpc,prof-java,1127,742210,0,0,
2023-06-09 00:00:00.000,vk,cpc,prof-python,1110,939245,0,0,
2023-06-09 00:00:00.000,vk,cpc,prof-frontend,798,578778,7,0,
2023-06-09 00:00:00.000,vk,cpm,prof-data-analytics,11,704,0,0,
2023-06-10 00:00:00.000,vk,cpc,freemium-frontend,1560,395616,0,0,
2023-06-10 00:00:00.000,vk,cpc,freemium-python,1430,362648,0,0,
2023-06-10 00:00:00.000,vk,cpc,prof-data-analytics,1320,557040,0,0,
2023-06-10 00:00:00.000,vk,cpc,prof-python,1162,906028,0,0,
2023-06-10 00:00:00.000,vk,cpc,freemium-java,972,273996,0,0,
2023-06-10 00:00:00.000,vk,cpc,prof-java,900,561450,0,0,
2023-06-10 00:00:00.000,vk,cpc,prof-frontend,686,534884,0,0,
2023-06-11 00:00:00.000,vk,cpc,freemium-frontend,2782,542062,0,0,
2023-06-11 00:00:00.000,vk,cpc,freemium-java,1270,370332,0,0,
2023-06-11 00:00:00.000,vk,cpc,freemium-python,1130,286568,0,0,
2023-06-11 00:00:00.000,vk,cpc,prof-python,1122,949212,0,0,
2023-06-11 00:00:00.000,vk,cpc,prof-data-analytics,1015,662505,0,0,
2023-06-11 00:00:00.000,vk,cpc,prof-java,882,555807,0,0,
2023-06-11 00:00:00.000,vk,cpc,prof-frontend,762,693166,0,0,
2023-06-12 00:00:00.000,vk,cpc,freemium-java,1729,641326,0,0,
2023-06-12 00:00:00.000,vk,cpc,freemium-frontend,1295,586450,0,0,
2023-06-12 00:00:00.000,vk,cpc,prof-python,1206,1045602,0,0,
2023-06-12 00:00:00.000,vk,cpc,freemium-python,1089,306856,0,0,
2023-06-12 00:00:00.000,vk,cpc,prof-java,1026,701955,0,0,
2023-06-12 00:00:00.000,vk,cpc,prof-data-analytics,990,690855,0,0,
2023-06-12 00:00:00.000,vk,cpc,prof-frontend,585,594126,0,0,
2023-06-13 00:00:00.000,yandex,cpc,prof-frontend,12285,6581925,0,0,
2023-06-13 00:00:00.000,yandex,cpc,prof-python,7904,4497064,0,0,
2023-06-13 00:00:00.000,yandex,cpc,prof-java,5312,3031160,0,0,
2023-06-13 00:00:00.000,yandex,cpc,freemium,4278,2556174,0,0,
2023-06-13 00:00:00.000,yandex,cpc,base-frontend,580,296728,0,0,
2023-06-13 00:00:00.000,vk,cpc,freemium-java,513,135489,0,0,
2023-06-13 00:00:00.000,vk,cpc,prof-python,420,364140,0,0,
2023-06-13 00:00:00.000,vk,cpc,freemium-frontend,384,175744,6,0,
2023-06-13 00:00:00.000,vk,cpc,prof-data-analytics,312,217776,0,0,
2023-06-13 00:00:00.000,vk,cpc,freemium-python,285,144666,0,0,
2023-06-13 00:00:00.000,vk,cpc,prof-java,282,204450,6,0,
2023-06-13 00:00:00.000,yandex,cpc,prof-professions-brand,231,117942,0,0,
2023-06-13 00:00:00.000,vk,cpc,prof-frontend,222,201983,0,0,
2023-06-13 00:00:00.000,yandex,cpc,prof-data-analytics,136,102561,0,0,
2023-06-13 00:00:00.000,yandex,cpc,dod-professions,72,46860,0,0,
2023-06-13 00:00:00.000,yandex,cpc,dod-frontend,60,41230,0,0,
2023-06-13 00:00:00.000,yandex,cpc,prof-professions-retarget,36,10872,0,0,
2023-06-13 00:00:00.000,yandex,cpc,base-professions-retarget,5,4040,0,0,
2023-06-14 00:00:00.000,yandex,cpc,prof-frontend,20130,11652960,0,0,
2023-06-14 00:00:00.000,yandex,cpc,prof-python,11900,7100220,0,0,
2023-06-14 00:00:00.000,yandex,cpc,prof-java,10432,6055613,0,0,
2023-06-14 00:00:00.000,yandex,cpc,freemium,6880,4031680,0,0,
2023-06-14 00:00:00.000,yandex,cpc,prof-professions-brand,392,175420,0,0,
2023-06-14 00:00:00.000,yandex,cpc,prof-data-analytics,384,283328,0,0,
2023-06-14 00:00:00.000,vk,cpc,prof-python,84,35518,0,0,
2023-06-14 00:00:00.000,vk,cpc,prof-data-analytics,78,54457,0,0,
2023-06-14 00:00:00.000,vk,cpc,freemium-frontend,55,27269,0,0,
2023-06-14 00:00:00.000,yandex,cpc,prof-professions-retarget,54,18738,0,0,
2023-06-14 00:00:00.000,yandex,cpc,dod-frontend,45,14760,0,0,
2023-06-14 00:00:00.000,vk,cpc,freemium-python,36,26055,0,0,
